offer	option1	option2	sub_name	trial
7	19	7	Sub_1ma83ra9	81
12	20	12	Sub_1ma83ra9	82
12	12	8	Sub_1ma83ra9	83
7	1	7	Sub_1ma83ra9	84
7	17	7	Sub_1ma83ra9	85
10	0	10	Sub_1ma83ra9	86
6	6	20	Sub_1ma83ra9	87
0	18	0	Sub_1ma83ra9	88
4	4	14	Sub_1ma83ra9	89
2	2	20	Sub_1ma83ra9	90
7	3	7	Sub_1ma83ra9	91
8	8	12	Sub_1ma83ra9	92
11	7	11	Sub_1ma83ra9	93
11	11	13	Sub_1ma83ra9	94
8	0	8	Sub_1ma83ra9	95
7	1	7	Sub_1ma83ra9	96
9	9	5	Sub_1qrs0ktd	1
11	17	11	Sub_1qrs0ktd	2
15	15	17	Sub_1qrs0ktd	3
13	19	13	Sub_1qrs0ktd	4
15	1	15	Sub_1qrs0ktd	5
10	8	10	Sub_1qrs0ktd	6
15	15	19	Sub_1qrs0ktd	7
14	14	18	Sub_1qrs0ktd	8
12	14	12	Sub_1qrs0ktd	9
15	1	15	Sub_1qrs0ktd	10
12	12	20	Sub_1qrs0ktd	11
6	4	6	Sub_1qrs0ktd	12
12	12	16	Sub_1qrs0ktd	13
6	0	6	Sub_1qrs0ktd	14
7	7	17	Sub_1qrs0ktd	15
13	13	17	Sub_1qrs0ktd	16
12	2	12	Sub_1qrs0ktd	17
10	2	10	Sub_1qrs0ktd	18
9	17	9	Sub_1qrs0ktd	19
0	0	14	Sub_1qrs0ktd	20
18	18	6	Sub_1qrs0ktd	21
6	6	20	Sub_1qrs0ktd	22
10	4	10	Sub_1qrs0ktd	23
4	4	10	Sub_1qrs0ktd	24
2	18	2	Sub_1qrs0ktd	25
10	0	10	Sub_1qrs0ktd	26
11	5	11	Sub_1qrs0ktd	27
16	2	16	Sub_1qrs0ktd	28
8	8	12	Sub_1qrs0ktd	29
14	14	18	Sub_1qrs0ktd	30
2	4	2	Sub_1qrs0ktd	31
12	0	12	Sub_1qrs0ktd	32
5	3	5	Sub_1qrs0ktd	33
14	16	14	Sub_1qrs0ktd	34
1	1	19	Sub_1qrs0ktd	35
7	3	7	Sub_1qrs0ktd	36
8	8	18	Sub_1qrs0ktd	37
6	6	4	Sub_1qrs0ktd	38
4	0	4	Sub_1qrs0ktd	39
9	9	17	Sub_1qrs0ktd	40
5	5	19	Sub_1qrs0ktd	41
4	4	20	Sub_1qrs0ktd	42
7	19	7	Sub_1qrs0ktd	43
16	4	16	Sub_1qrs0ktd	44
7	7	3	Sub_1qrs0ktd	45
15	15	3	Sub_1qrs0ktd	46
7	7	17	Sub_1qrs0ktd	47
9	9	19	Sub_1qrs0ktd	48
4	4	14	Sub_1qrs0ktd	49
15	15	19	Sub_1qrs0ktd	50
13	13	17	Sub_1qrs0ktd	51
13	5	13	Sub_1qrs0ktd	52
6	6	14	Sub_1qrs0ktd	53
8	6	8	Sub_1qrs0ktd	54
