participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.test_question_1,player.test_question_2,player.test_question_3,player.test_question_4,player.payoff,group.id_in_subsession,group.payout_chosen_trial,group.option1,group.option2,group.amount_offered,group.option_chosen,group.current_opponent,group.payout,group.soc_or_no,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,2,8,8,Option 2,triangle,12,Social,1,58,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,7,13,13,Option 2,circle,7,Social,1,59,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,18,20,18,Option 1,square,2,Social,1,60,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,3,17,17,Option 2,square,3,Social,1,61,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,8,10,10,Option 2,circle,10,Social,1,62,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,7,9,7,Option 1,circle,13,Social,1,63,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,1,5,5,Option 2,triangle,0,Social,0,64,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,2,14,14,Option 2,triangle,6,Social,1,65,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,16,20,16,Option 1,circle,4,Social,1,66,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,12,16,12,Option 1,square,8,Social,1,67,ag3bbb10,,,,,,0
1,8q048zlv,,0,387,1350,my_ultimatum_priors_social,96,Offer,10.239.93.100,2017-11-15 10:00:21.833753+00:00,1,,,0,1,,,,,0,1,,9,11,9,Option 1,triangle,11,Social,1,68,ag3bbb10,,,,,,0
