participant.id_in_session	participant.code	participant.visited	participant.payoff	player.id_in_group	player.payoff	group.id_in_subsession	group.amount_offered	group.current_opponent	group.payout	group.soc_or_no	group.offer_accepted	subsession.round_number	session.code
1	f5ut2ntt	1	0	1	0	1	10	triangle	0	Non-social	0	49	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	50	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	0	Non-social	0	51	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	52	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Non-social	1	53	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	54	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	0	Non-social	0	55	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	56	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	57	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	58	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Non-social	1	59	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Non-social	1	60	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Social	1	61	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Social	1	62	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	0	Social	0	63	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	square	10	Social	1	64	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	circle	10	Social	1	65	ohtnbfl2
1	f5ut2ntt	1	0	1	0	1	10	triangle	10	Social	1	66	ohtnbfl2
